Atomic #,Element,# Neutrons of Most Stable Isotope,# Neutrons of This Isotope,Difference in Neutrons,Half-Life (s),Half-Life - Distance from Mean (s),Half-Life - Proportion of Mean,Half-Life - Orders of Magnitude Above/Below Mean
1,Hydrogen (H),0,2,2,388523520.0,0.0,1.0,0.0
2,Helium (He),2,0,-2,10000000000,6666666666.357994,2.999999999722194,0.477
2,Helium (He),2,4,2,0.807,-3333333332.835006,2.420999999775811e-10,-9.616
2,Helium (He),2,6,4,0.119,-3333333333.5230064,3.569999999669411e-11,-10.447
3,Lithium (Li),4,5,1,0.839,0.5823874975,3.269521133328256,0.514
3,Lithium (Li),4,6,2,0.178,-0.07861250250000001,0.6936528745320972,-0.159
3,Lithium (Li),4,8,4,0.009,-0.2476125025,0.03507233635274649,-1.455
3,Lithium (Li),4,9,5,0.0,-0.2566125025,0.0,0
4,Beryllium (Be),5,6,1,47650896000000.0,-2.019999618792832e+20,2.3589551362313606e-07,-6.627
4,Beryllium (Be),5,7,2,13.76,-2.020000095301792e+20,6.811880866740369e-20,-19.167
4,Beryllium (Be),5,8,3,0.022,-2.020000095301792e+20,1.0891088595079079e-22,-21.963
4,Beryllium (Be),5,9,4,1.01e+21,8.079999904698208e+20,4.999999764104486,0.699
4,Beryllium (Be),5,10,5,0.004,-2.020000095301792e+20,1.9801979263780144e-23,-22.703
5,Boron (B),6,10,4,0.01,0.0040233333333333345,1.673173452314557,0.224
5,Boron (B),6,12,6,0.005,-0.0009766666666666656,0.8365867261572785,-0.077
5,Boron (B),6,14,8,0.003,-0.0029766666666666657,0.5019520356943671,-0.299
6,Carbon (C),6,3,-3,0.127,-16427389203.947254,7.730991116257352e-12,-11.112
6,Carbon (C),6,4,-2,19.301,-16427389184.773254,1.1749280278337255e-09,-8.93
6,Carbon (C),6,5,-1,1221.84,-16427387982.234255,7.437822193297545e-08,-7.129
6,Carbon (C),6,8,2,180701280000.0,164273890795.92575,10.99999992422309,1.041
6,Carbon (C),6,9,3,2.449,-16427389201.625256,1.4908029325759255e-10,-9.827
6,Carbon (C),6,10,4,0.747,-16427389203.327255,4.547283751058458e-11,-10.342
6,Carbon (C),6,11,5,0.193,-16427389203.881254,1.1748671538879284e-11,-10.93
6,Carbon (C),6,12,6,0.092,-16427389203.982256,5.600403013351783e-12,-11.252
6,Carbon (C),6,13,7,0.046,-16427389204.028255,2.8002015066758914e-12,-11.553
